date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2021-09-16,95700,96500,94400,94800,151108,0,-0.9404,0,0
2021-09-17,93500,94700,93100,94600,206462,0,-0.211,0,0
2021-09-23,94000,95700,93700,95300,242646,0,0.74,0,0
2021-09-24,95300,96000,94800,95200,159950,0,-0.1049,0,0
2021-09-27,94600,96100,94400,95700,131340,0,0.5252,0,0
2021-09-28,95300,95700,93800,93800,229044,0,-1.9854,0,0
2021-09-29,93500,93700,90000,90300,335314,0,-3.7313,0,0
2021-09-30,90400,93600,90000,93000,218312,0,2.99,0,0
2021-10-01,92900,93500,92000,93000,233277,0,0.0,0,0
2021-10-05,90200,93800,90200,93100,325916,0,0.1075,0,0
2021-10-06,93000,93500,89900,89900,285447,0,-3.4372,0,0
2021-10-07,91400,93300,91100,92300,171975,0,2.6696,0,0
2021-10-08,90300,92900,90100,91900,170757,0,-0.4334,0,0
2021-10-12,93400,94000,90900,92700,230482,0,0.8705,0,0
2021-10-13,93000,93700,92400,93400,129368,0,0.7551,0,0
2021-10-14,94000,95400,93600,95400,194255,0,2.1413,0,0
2021-10-15,94100,95900,94100,95600,148706,0,0.2096,0,0
2021-10-18,95100,96000,94400,95800,138311,0,0.2092,0,0
2021-10-19,96600,97200,95500,96100,90945,0,0.3132,0,0
2021-10-20,96900,97400,95100,95200,132214,0,-0.9365,0,0
2021-10-21,94400,95900,94100,94700,157323,0,-0.5252,0,0
2021-10-22,93600,95000,92800,94600,85627,0,-0.1056,0,0
2021-10-25,93700,95700,93700,95000,139775,0,0.4228,0,0
2021-10-26,95800,95800,94200,94500,86588,0,-0.5263,0,0
2021-10-27,94600,94900,93300,94700,153586,0,0.2116,0,0
2021-10-28,94700,94900,91500,91500,263101,0,-3.3791,0,0
2021-10-29,91600,92400,90300,91200,250274,0,-0.3279,0,0
2021-11-01,92000,93100,91200,92500,251976,0,1.4254,0,0
2021-11-02,92400,93600,92200,93100,160430,0,0.6486,0,0
2021-11-03,92400,93300,92000,92400,206053,0,-0.7519,0,0
2021-11-04,92600,94300,92600,93100,264248,0,0.7576,0,0
2021-11-05,93100,94100,92200,93500,176213,0,0.4296,0,0
2021-11-08,93100,94500,92500,93600,145996,0,0.107,0,0
2021-11-09,93700,95100,93000,94000,122675,0,0.4274,0,0
2021-11-10,92500,93300,90700,91200,188514,0,-2.9787,0,0
2021-11-11,90100,90600,89000,89200,211294,0,-2.193,0,0
2021-11-12,89200,90500,88800,90000,153161,0,0.8969,0,0
2021-11-15,90000,90500,89700,90300,112796,0,0.3333,0,0
2021-11-16,89200,90500,88500,89700,188510,0,-0.6645,0,0
2021-11-17,89100,90000,88000,88100,281523,0,-1.7837,0,0
2021-11-18,87500,87800,84600,84600,276821,0,-3.9728,0,0
