date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2025-06-23,92500,100800,92000,97400,1333295,0,8.9485,0,0
2025-06-24,100000,100000,91800,97000,987777,0,-0.4107,0,0
2025-06-25,92300,92300,84100,85500,1352050,0,-11.8557,0,0
2025-06-26,80300,80300,72900,78500,1946773,0,-8.1871,0,0
2025-06-27,78500,85900,77500,84500,6729996,0,7.6433,0,0
2025-06-30,80100,80900,73500,75100,3969826,0,-11.1243,0,0
2025-07-01,77000,82200,76100,80800,1888255,0,7.5899,0,0
2025-07-02,84600,84900,80500,80600,1182550,0,-0.2475,0,0
2025-07-03,79000,83700,77600,77900,1185032,0,-3.3499,0,0
2025-07-04,79800,81000,77300,79900,1026917,0,2.5674,0,0
2025-07-07,83000,85200,79200,79400,1325075,0,-0.6258,0,0
2025-07-08,82300,82400,78700,81500,830075,0,2.6448,0,0
2025-07-09,82500,83500,80600,81400,710713,0,-0.1227,0,0
2025-07-10,80800,82700,77500,81000,1708009,0,-0.4914,0,0
2025-07-11,81000,84500,80200,81800,1755449,0,0.9877,0,0
2025-07-14,80100,80400,75000,76800,1438981,0,-6.1125,0,0
2025-07-15,76800,77800,75600,77200,589633,0,0.5208,0,0
2025-07-16,75400,76500,74000,75500,748899,0,-2.2021,0,0
2025-07-17,77700,78000,73600,74700,772591,0,-1.0596,0,0
2025-07-18,74700,75300,74000,74900,309855,0,0.2677,0,0
2025-07-21,75100,75400,74300,74600,363227,0,-0.4005,0,0
2025-07-22,74200,74500,71500,71900,619424,0,-3.6193,0,0
2025-07-23,72200,73200,68800,69800,669035,0,-2.9207,0,0
2025-07-24,71400,71900,68300,68600,647890,0,-1.7192,0,0
2025-07-25,68600,72800,68600,71700,933628,0,4.519,0,0
2025-07-28,72700,72900,70200,70500,340401,0,-1.6736,0,0
2025-07-29,71900,73000,70700,71200,412284,0,0.9929,0,0
2025-07-30,71200,73000,71200,71800,286782,0,0.8427,0,0
2025-07-31,72200,72400,69400,70300,434802,0,-2.0891,0,0
2025-08-01,69800,69800,67500,68900,313491,0,-1.9915,0,0
2025-08-04,68500,70500,68000,68700,389353,0,-0.2903,0,0
2025-08-05,70100,70400,68000,70300,544720,0,2.329,0,0
2025-08-06,72500,72600,66000,67500,7564714,0,-3.9829,0,0
2025-08-07,69100,70200,67700,69600,1517177,0,3.1111,0,0
2025-08-08,70700,70800,68300,69000,584263,0,-0.8621,0,0
