date,open,high,low,close,volume,trading_value,change_rate,foreign_net,institution_net
2023-01-12,16600,17050,16450,16900,7585935,0,3.0488,0,0
2023-01-13,17000,17200,16750,17150,5199400,0,1.4793,0,0
2023-01-16,17400,17450,16450,16500,8834739,0,-3.7901,0,0
2023-01-17,16500,16750,16250,16300,3098591,0,-1.2121,0,0
2023-01-18,16350,16400,15900,16000,3162026,0,-1.8405,0,0
2023-01-19,16100,16400,16050,16100,2731748,0,0.625,0,0
2023-01-20,16150,16350,15900,16250,2108912,0,0.9317,0,0
2023-01-25,16360,16420,16100,16110,3354716,0,-0.8615,0,0
2023-01-26,16110,16300,16070,16280,2875285,0,1.0552,0,0
2023-01-27,16320,16900,16260,16590,5215081,0,1.9042,0,0
2023-01-30,16710,16870,16570,16610,3894790,0,0.1206,0,0
2023-01-31,16580,16750,16370,16700,3626527,0,0.5418,0,0
2023-02-01,16760,16770,16430,16530,3314405,0,-1.018,0,0
2023-02-02,16610,16700,16400,16600,3154847,0,0.4235,0,0
2023-02-03,16570,16690,16480,16500,2696530,0,-0.6024,0,0
2023-02-06,16480,16480,15840,15840,4853484,0,-4.0,0,0
2023-02-07,15840,15960,15690,15710,3766903,0,-0.8207,0,0
2023-02-08,15750,16210,15750,16090,3679734,0,2.4188,0,0
2023-02-09,16030,16040,15850,15880,2419606,0,-1.3052,0,0
2023-02-10,15840,15860,15520,15650,3276002,0,-1.4484,0,0
2023-02-13,15710,15920,15650,15720,2636363,0,0.4473,0,0
2023-02-14,15800,16030,15780,15960,2766498,0,1.5267,0,0
2023-02-15,15970,16010,15290,15320,4650959,0,-4.01,0,0
2023-02-16,15430,15620,15380,15470,2673879,0,0.9791,0,0
2023-02-17,15300,15620,15230,15470,2271405,0,0.0,0,0
2023-02-20,15500,15880,15290,15720,2891928,0,1.616,0,0
2023-02-21,15900,16260,15800,16200,5130282,0,3.0534,0,0
2023-02-22,15970,16460,15950,16230,4564945,0,0.1852,0,0
2023-02-23,16300,16420,16020,16330,3445835,0,0.6161,0,0
2023-02-24,16330,16640,16250,16320,4298766,0,-0.0612,0,0
2023-02-27,16180,16430,16110,16260,2645855,0,-0.3676,0,0
